station_id,air-temperature,timestamp (SGT),name,longitude,latitude
S109,27.1,2017-05-24 05:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,26.6,2017-05-24 05:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,26.8,2017-05-24 05:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.2,2017-05-24 05:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.2,2017-05-24 06:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.3,2017-05-24 06:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.4,2017-05-24 06:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.6,2017-05-24 06:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.7,2017-05-24 06:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.9,2017-05-24 06:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.9,2017-05-24 06:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.9,2017-05-24 06:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.9,2017-05-24 06:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.0,2017-05-24 06:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.1,2017-05-24 06:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.0,2017-05-24 06:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.0,2017-05-24 07:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.1,2017-05-24 07:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.1,2017-05-24 07:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.1,2017-05-24 07:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.1,2017-05-24 07:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.1,2017-05-24 07:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.1,2017-05-24 07:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.2,2017-05-24 07:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.4,2017-05-24 07:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.4,2017-05-24 07:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.4,2017-05-24 07:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.4,2017-05-24 07:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.5,2017-05-24 08:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.5,2017-05-24 08:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.7,2017-05-24 08:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.8,2017-05-24 08:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.8,2017-05-24 08:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,28.9,2017-05-24 08:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,29.3,2017-05-24 08:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,29.5,2017-05-24 08:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,29.3,2017-05-24 08:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,29.3,2017-05-24 08:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,29.2,2017-05-24 08:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,29.2,2017-05-24 08:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,27.5,2017-05-24 09:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,26.3,2017-05-24 09:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.6,2017-05-24 09:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.3,2017-05-24 09:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,25.1,2017-05-24 09:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.7,2017-05-24 09:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 09:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.2,2017-05-24 09:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.1,2017-05-24 09:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.0,2017-05-24 09:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.6,2017-05-24 09:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.5,2017-05-24 09:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.5,2017-05-24 10:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.4,2017-05-24 10:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.5,2017-05-24 10:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.5,2017-05-24 10:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.5,2017-05-24 10:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.6,2017-05-24 10:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.6,2017-05-24 10:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.5,2017-05-24 10:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.6,2017-05-24 10:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.6,2017-05-24 10:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.8,2017-05-24 10:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.8,2017-05-24 10:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.9,2017-05-24 11:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.9,2017-05-24 11:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.8,2017-05-24 11:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,23.9,2017-05-24 11:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.2,2017-05-24 11:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.2,2017-05-24 11:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.3,2017-05-24 11:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.3,2017-05-24 11:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.3,2017-05-24 11:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 11:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 11:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.4,2017-05-24 11:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.2,2017-05-24 12:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.2,2017-05-24 12:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.4,2017-05-24 12:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 12:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 12:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 12:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 12:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.5,2017-05-24 12:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 12:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,24.6,2017-05-24 12:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
