station_id,wind-speed,timestamp (SGT),name,longitude,latitude
S109,5.3,2017-05-24 00:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.1,2017-05-24 00:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.7,2017-05-24 00:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,6.0,2017-05-24 00:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,9.3,2017-05-24 00:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,6.4,2017-05-24 00:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,2.9,2017-05-24 00:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.7,2017-05-24 00:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,3.1,2017-05-24 00:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,7.2,2017-05-24 00:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,10.7,2017-05-24 00:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,5.8,2017-05-24 00:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.5,2017-05-24 01:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,7.2,2017-05-24 01:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,7.4,2017-05-24 01:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.5,2017-05-24 01:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,2.1,2017-05-24 01:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.7,2017-05-24 01:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,3.9,2017-05-24 01:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.3,2017-05-24 01:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.5,2017-05-24 01:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.7,2017-05-24 01:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.7,2017-05-24 01:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,5.6,2017-05-24 01:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,5.6,2017-05-24 02:00:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,5.3,2017-05-24 02:05:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,2.7,2017-05-24 02:10:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,2.5,2017-05-24 02:15:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,3.5,2017-05-24 02:20:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.1,2017-05-24 02:25:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,5.3,2017-05-24 02:30:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,5.3,2017-05-24 02:35:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,4.1,2017-05-24 02:40:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,7.2,2017-05-24 02:45:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,5.3,2017-05-24 02:50:00,Ang Mo Kio Avenue 5,103.8492,1.3764
S109,5.8,2017-05-24 02:55:00,Ang Mo Kio Avenue 5,103.8492,1.3764
