carpark_number,longitude,latitude,nbus_500,nbus_100,school_500,mrt_500
TPMN,103.848578452229,1.3348930156411,20,2,1,0
TPMP,103.844801354357,1.33668416639977,18,0,1,1
WDB1,103.853244212117,1.32077003284102,10,2,0,0
Y23,103.832079559448,1.42159341623377,13,0,2,1
Y24,103.833317578372,1.41908889380755,12,2,3,1
Y56,103.836762781742,1.42544974907435,21,0,0,0
BBM1,103.745382274251,1.34643665368638,14,2,1,0
BBM8,103.748510520704,1.3499692848448,15,2,0,0
BJ10,103.770655166769,1.37893928663085,21,0,2,4
BJ11,103.771879943564,1.38076368711014,16,3,3,4
BJ12,103.774488589084,1.38025326281058,8,0,2,2
BJ17,103.768945728134,1.38125023256274,20,2,1,2
BJ18,103.768111526577,1.38096996999807,23,0,1,2
BJ28,103.765546004073,1.37892483419269,29,0,2,0
BJ3,103.769377342964,1.37731019413801,19,0,2,3
BJ33,103.772011127144,1.37911950216512,16,0,2,4
BJ42,103.764286444662,1.37692127795757,22,0,1,0
BJ45,103.765008780912,1.37868796139644,24,3,2,0
CK21,103.743820118314,1.38453064663447,17,2,0,1
U48,103.748770630438,1.36143431940452,16,0,3,1
U5,103.744677881792,1.35013724128289,16,2,2,0
JM14,103.69876959219,1.34240067437711,21,1,3,0
JM12,103.698436393509,1.34112097104444,26,0,3,0
W39,103.791227976172,1.43990028179278,18,0,4,1
PL67,103.89751341808,1.40847387016727,6,0,0,3
U9,103.741192580594,1.345845572524,9,0,4,0
U26,103.750131440781,1.36051634143148,16,0,2,1
U25,103.750009965501,1.36310524833054,13,0,2,1
U24,103.747645348487,1.36390797990537,18,1,2,0
U23,103.74556533339,1.36302119257396,14,0,1,0
U22,103.746514564849,1.36076433250331,9,1,2,0
U21,103.748583617477,1.35735541423313,13,0,1,1
U2,103.746309292549,1.34987248400339,16,0,0,0
J45,103.726785446584,1.3489851813579,10,0,3,0
TM25,103.958495138344,1.35871474701473,15,1,3,0
TM26,103.959625223987,1.35982667978697,14,0,3,0
TM27,103.959888479028,1.36065300511494,13,0,2,0
J37,103.715801795882,1.35129596169884,14,0,1,0
BM1,103.809669195449,1.28627350837941,15,1,1,1
BM2,103.809953072261,1.2868507679835,19,0,1,1
BM26,103.807407939038,1.28727970787392,14,0,0,1
BWM,103.806654477543,1.28687530248197,12,2,0,1
TBMT,103.806901321906,1.27379625405021,12,0,1,1
TPM,103.842297402262,1.27548140025172,16,1,0,1
U29,103.749298577117,1.35859219879211,16,0,1,1
U27,103.751065062311,1.35959308732366,12,2,2,1
U18,103.758733386708,1.35108941239583,13,2,0,0
U30,103.752695158177,1.35691437554883,10,2,2,1
TE25,103.830787722964,1.27737166409302,9,0,0,0
TE3,103.826141560834,1.279741391649,12,1,0,0
TE4,103.82784357065,1.27836963975571,11,0,0,0
U28,103.750561153043,1.35787573992469,12,0,1,1
A15,103.84041745597,1.36696761050684,12,0,2,0
BM28,103.81582316671,1.2839993312076,15,1,2,0
BM30,103.816733442325,1.28323433325652,15,0,2,0
BTM,103.833289747836,1.2867839238665,14,2,1,0
BTM2,103.829641012372,1.28696308219404,13,0,1,1
SAM2,103.811007297227,1.2939665666451,16,0,2,0
TBM2,103.809223320155,1.27530436512936,15,0,1,0
TJ34,103.724509174187,1.33394993169412,16,2,1,0
U31,103.751073604829,1.35691340268137,14,0,2,1
BL13,103.715035197633,1.34469258752037,17,1,2,0
HG10,103.890483639158,1.35454771325923,16,2,2,1
W3,103.769502605681,1.44069949950933,10,0,0,0
BJ65,103.758761377061,1.38470415715602,15,2,4,1
CK19,103.751330647374,1.38048281912978,18,1,4,3
CK4,103.751662437412,1.38014370343272,18,1,3,2
CK42,103.746730358862,1.39276904206261,13,1,3,0
CK7,103.751960499351,1.38028225945617,17,0,3,2
TW1,103.755159171,1.37768814864177,13,3,1,1
TW2,103.754474939649,1.37874997515072,16,1,3,1
TW3,103.754505021287,1.38033006895066,15,2,5,1
B16,103.940559491924,1.32350111787562,14,0,3,0
B17,103.941857161266,1.32421773800636,12,0,3,0
B20,103.943420377089,1.31979971448027,15,1,1,1
B42,103.930821156824,1.33245179138242,19,1,3,0
B45,103.925428998801,1.3316799840249,18,0,0,0
B6,103.930339539373,1.32633049648282,14,1,1,1
B63,103.922616463344,1.33815372697679,6,1,1,0
B65,103.945659287523,1.3200329104339,14,0,1,0
B7,103.931921731626,1.32513123973324,13,0,0,0
B70,103.927995519062,1.32628984534614,18,0,1,1
B71,103.924300368982,1.32429388910779,12,0,2,1
B7A,103.934036959509,1.32713169234542,14,2,1,0
B8,103.928276233077,1.32588149637945,15,0,1,1
B80,103.923360600804,1.33826830415619,7,0,2,0
B84,103.934204757316,1.32622610951431,12,0,2,0
B90,103.939648815533,1.3225206224681,12,0,2,0
CC5,103.923400674582,1.3248224611391,12,2,2,1
CC6,103.923564612241,1.32351381402203,10,0,3,1
B30,103.938753433675,1.32994283465695,12,0,1,0
B31,103.938850199785,1.32850123419672,13,0,1,0
TJ28,103.720458878805,1.33711975668127,19,2,1,0
TJ31,103.722870167673,1.33859456993132,15,0,1,0
TJ37,103.722528311224,1.33828253386359,16,0,1,0
AM16,103.835718285157,1.37034980121361,15,1,2,0
AM32,103.834376815543,1.37053252446107,13,2,1,0
BJ2,103.766661340276,1.37613503075381,21,0,3,0
CK48,103.745221833723,1.39737452229979,17,2,3,1
BE8,103.855314807845,1.3444363922391,11,0,2,0
SE11,103.873419396167,1.37022600111192,18,1,3,0
SE20,103.872098796743,1.35157756763095,21,0,1,0
SE21,103.872016086453,1.35343618120422,22,2,0,0
SE22,103.872128827264,1.3541567315681,19,1,0,1
SE23,103.870838930197,1.35404990679112,20,0,0,1
SE24,103.871494192628,1.35276439703923,20,0,1,1
SE53,103.875050467174,1.36937809471681,16,1,2,0
FR4M,103.807534491411,1.31687572661862,6,1,2,1
BJ31,103.767518424098,1.38789815086641,11,2,2,1
BJ32,103.766847641789,1.38655741574932,15,0,2,1
BJ34,103.766490138214,1.38779605990158,12,0,2,1
BJ35,103.765872161405,1.38702433257437,13,0,2,1
BJ36,103.765295875923,1.38626289163156,12,1,2,1
BJ37,103.76466066314,1.38537581014166,17,0,2,2
TP31,103.84587103389,1.3411010791516,15,1,1,1
BJ38,103.763426646495,1.38513669086984,17,2,4,2
BJ39,103.7628600693,1.38423179772351,24,1,2,2
BJ40,103.762901649193,1.38282578775268,28,1,1,2
CK38,103.744825813665,1.39301793839083,14,0,2,0
A38,103.854588382711,1.36396370580403,9,0,2,0
A43,103.859267271977,1.36599673554933,10,0,0,0
CK8,103.747105661127,1.38208607931357,19,0,1,3
CK8A,103.748978599287,1.38121860673947,15,2,2,4
CK39,103.744277802494,1.39614725324911,14,0,3,1
CK41,103.746457009456,1.39095741996976,12,1,2,0
CK46,103.749532106803,1.39526631034354,15,0,3,1
CK47,103.747699422783,1.39523945037119,20,0,4,1
SE32,103.872296737759,1.37228480092965,19,0,2,0
SE33,103.872607828538,1.37416173827728,16,1,1,0
SE39,103.871702903251,1.37350367177279,18,1,1,0
BJ43,103.761677612649,1.38172044598217,27,0,1,1
CK22,103.745942967992,1.38384387700935,18,0,1,2
CK36,103.74108732654,1.39228590223088,10,1,1,0
CK37,103.742229847756,1.39405299528609,12,0,1,0
A25,103.851627489277,1.36276930742851,12,0,2,0
A81,103.836478794681,1.37435555252556,14,1,0,0
A82,103.836398652723,1.37567492239482,11,0,0,0
A9,103.844392197806,1.36807436997813,11,0,1,1
A98,103.831854209648,1.36916431059637,11,0,2,0
BJ55,103.760776951789,1.38628294474144,16,1,2,1
BJ56,103.758949835054,1.38589121604701,17,3,2,1
CK44,103.749136737306,1.39258883506481,12,2,2,0
CK45,103.749966835991,1.39451794097482,14,0,3,1
SE35,103.876252960217,1.3730991180086,19,0,2,0
SE38,103.875715278267,1.37395324520749,18,1,2,0
SE40,103.870022956964,1.37254095663696,11,0,1,0
BJ30,103.768979329077,1.38702928241063,10,0,2,2
CK16,103.739221072542,1.37962891057335,21,1,3,0
CK49,103.743534979649,1.39874472977906,12,0,2,1
CK50,103.743784940046,1.40041195690394,8,0,1,0
CKT1,103.738584385895,1.38031508592098,19,2,3,0
CK51,103.747581316543,1.39964218927207,20,0,2,1
CK12,103.741815708345,1.38128611662468,24,2,2,0
CK13,103.742040596766,1.38291672354162,19,2,1,0
CK17,103.740691022393,1.3820730449414,21,0,2,0
CK30,103.74538107498,1.37902887669667,21,0,2,2
CK31,103.744938407895,1.37875023314904,21,0,2,2
BJ41,103.765454483908,1.37551205005209,20,0,1,0
CK20,103.740133654296,1.38338296474863,14,1,1,0
CK23,103.741506854054,1.38414435119935,16,1,1,0
CK34,103.741097048423,1.38857724580347,8,2,0,0
CKM1,103.740824780821,1.38359635561229,15,1,1,0
BJ1,103.769323020166,1.37395668012412,13,0,2,3
BJ48,103.764603025736,1.38718578982729,13,1,2,1
CK33,103.742951354776,1.38869768587925,13,0,0,0
A37,103.855556550702,1.36811306848691,13,0,1,0
A39,103.854072154634,1.36115102165868,15,0,1,0
A68,103.839854214827,1.38189761856602,16,1,2,0
A70,103.840107206764,1.38062064114195,16,0,3,0
A71,103.840741896718,1.38000909369531,20,0,3,1
CK40,103.746147353486,1.39538076213543,17,1,2,1
A40,103.856982085985,1.36235615053786,12,0,1,0
A66,103.835660622978,1.38054493090841,14,0,0,0
A69,103.841945435749,1.38164145794217,18,0,3,1
A30,103.842418972199,1.37098974668814,9,0,2,1
AM80,103.841861490483,1.37064699017156,8,0,2,1
AM81,103.841947812524,1.37163924205586,8,0,2,1
CC7,103.925687349719,1.32524620545283,19,0,1,1
B88,103.938324024787,1.32225093211688,11,0,2,0
B66,103.904339563206,1.33054815487274,14,2,2,0
B53,103.915177235275,1.33425148909204,12,0,0,0
B52,103.91789418746,1.33390918003002,9,0,1,0
B51,103.916396242413,1.33214650008818,6,0,1,0
B35,103.935176202663,1.32905809720399,18,1,2,0
B34,103.935673430839,1.32831229435955,17,0,1,0
B33,103.935800164562,1.32724085840242,14,0,1,0
B32,103.936757479504,1.32741066945513,16,0,2,0
KB17,103.862910171515,1.31766412026225,15,0,0,1
KB10,103.863592558818,1.31890330396579,11,1,1,1
KB11,103.863721995793,1.32058268108783,12,0,1,1
SD9,103.873495935032,1.31176147002141,13,1,0,1
W54,103.789075079434,1.43941887883024,19,0,3,1
BE23,103.849762913569,1.35009590712064,14,1,1,1
Y52M,103.84492031076,1.42031043773933,11,0,2,0
Y9,103.83401256587,1.42783091351926,24,0,1,1
Y20,103.837855836139,1.43626205593008,15,0,4,0
Y10,103.833282275399,1.42384275765004,21,0,1,0
PM30,103.942177186883,1.37574538399534,23,0,2,0
PM3,103.960933001682,1.37180034981674,22,2,3,0
TWM3,103.757316724977,1.38038891574567,14,0,3,0
CK61,103.748917565864,1.40408941986099,12,0,1,0
CK60,103.745873826471,1.40429443397874,7,0,2,0
SK91,103.891522007331,1.38549439147242,17,2,1,2
SK75,103.875110982126,1.39161010192933,12,1,2,1
SK74,103.877596214762,1.39216839066302,10,1,2,2
SK88,103.874103934736,1.39402110312423,13,0,1,2
SK71,103.894188245183,1.38207746901543,14,0,2,2
SK43,103.897249583934,1.39645458216063,10,0,2,2
SK70,103.894742212238,1.38429570318294,20,0,2,3
SK92,103.89290117506,1.38615841223772,19,2,2,2
SK80,103.876526019047,1.39392199294293,16,0,1,3
SK72,103.893888185531,1.38514135052927,18,0,1,4
SK73,103.894244671663,1.38611189717361,21,2,2,3
SK83,103.873405117906,1.39418940736509,14,1,1,2
SK86,103.877159955364,1.39438120083388,13,1,2,3
SK78,103.87407028684,1.39168389915635,15,0,1,1
SK68,103.894242431036,1.38306538726293,17,0,1,2
SK3,103.897425873932,1.38604418076072,21,0,3,1
SK58,103.878212028333,1.38944471991347,6,0,2,2
SK62,103.876719479136,1.38888278077699,10,0,2,1
SK87,103.873121996799,1.39315202180955,18,2,1,1
CK3A,103.749980341676,1.37949253030326,18,0,2,3
CK3,103.7500624787,1.3786059243998,16,0,1,3
CK55,103.748508995926,1.3971123380651,19,1,3,1
CK29,103.744110776461,1.37974571233705,25,1,2,1
CK28,103.744171692474,1.3800848001568,23,2,2,1
AM22,103.847653026353,1.36458829147512,11,0,1,0
AM20,103.846088586118,1.36469773293712,9,1,2,1
AM18,103.844619390219,1.36554001278626,13,1,1,1
A20,103.848457091822,1.36494338064154,12,0,2,0
A65,103.859417207625,1.37102915896011,15,0,1,0
A60,103.855913418751,1.37446449543798,13,0,3,0
A50,103.857609567953,1.37252246424224,14,0,2,0
HG22,103.880432413139,1.3524734570238,12,1,0,0
CK25,103.743743795647,1.38228999830792,18,1,1,2
CK24,103.743309854137,1.38332616301207,15,1,1,2
STAM,103.809939841282,1.29285019100066,16,0,2,0
AM79,103.851327945649,1.37232822920642,21,1,2,0
A34,103.851667374102,1.36835647321903,12,0,3,0
AM96,103.850940371229,1.36407414927882,10,0,2,0
A85,103.84970936856,1.36510737794777,11,0,2,0
A72,103.843530338174,1.38076096265734,18,1,4,1
A67,103.837804889389,1.37968632444613,17,0,0,0
BMVM,103.823129189598,1.28462628946923,16,0,2,0
HE3,103.821711693549,1.2847190033879,14,1,1,0
TB2,103.819340570736,1.27757007453566,14,2,0,0
JKM,103.839002771694,1.28718797600376,9,1,1,1
JKS,103.839640391014,1.28816462345907,8,0,1,1
SPM,103.835631619211,1.27392581672339,8,0,0,0
FR2C,103.807712564483,1.31827839070269,6,1,2,1
GM1A,103.786945592487,1.31255463307581,12,1,1,0
AR5M,103.784463330084,1.30734352659319,9,2,2,0
AR9,103.783439640596,1.30728436270956,9,0,2,0
C5,103.769573948647,1.31310265905251,14,0,1,0
C9,103.770312349409,1.3176492492395,17,0,1,0
U46,103.747626883417,1.34416821075673,11,0,0,0
U15,103.755436272093,1.34888370020953,20,0,3,0
U3,103.744351634786,1.35139195654454,12,1,1,0
U32,103.752614041782,1.35410023419813,15,1,2,0
B75,103.917526157776,1.33303810249595,6,0,1,0
U38,103.744577082454,1.34672609294971,14,1,3,0
U10,103.743724236432,1.34580354219828,12,0,3,0
C8,103.768631103456,1.31667465678636,15,1,1,1
J60M,103.71789779158,1.34937129708846,15,0,3,0
J38,103.718585466766,1.34911809382485,17,0,4,0
UBKM,103.870811706204,1.3147949856341,9,0,0,0
UBK2,103.871397464283,1.3155971787693,10,0,0,0
UBK5,103.873959398416,1.31853579262266,10,0,0,0
U17,103.756805573197,1.35009596559791,20,0,0,0
U4,103.743219963037,1.35065356523015,12,1,2,0
U1,103.746981501513,1.34838970301781,18,0,0,0
TGML,103.739341480221,1.32174968731496,15,2,0,0
BRBL,103.850707491003,1.30659689422405,8,0,0,2
BL18,103.714437332527,1.34648845221846,21,0,2,0
BRB1,103.850585978632,1.30606674923535,9,1,0,2
J61,103.688424907971,1.3400767800039,12,1,3,0
J73,103.698222085255,1.34399538592604,22,0,2,0
J74,103.696112293441,1.34266458406925,26,2,1,0
U39,103.750988845481,1.34975943162847,15,1,2,0
U40,103.751368303705,1.34863240139712,20,2,3,0
U41,103.752048349981,1.34948459705518,19,1,3,0
C3M,103.770131034559,1.30981358763305,14,0,2,0
C4M,103.770502512952,1.31148010869757,17,1,2,0
J70,103.693508734471,1.34368703547005,23,0,0,0
J75M,103.693089020344,1.34413466038172,22,0,0,0
JM15,103.700082433655,1.34088882883945,21,0,3,0
JM18,103.699529255337,1.34299662848967,24,0,3,0
C24,103.771286676964,1.32419762068627,5,0,0,0
C27,103.77051277091,1.32224226281682,11,1,0,0
KTM5,103.829461390033,1.28252909743668,11,2,1,0
KTM6,103.829243442409,1.28185645216714,9,2,1,0
BP2,103.827004328282,1.27409169127108,11,0,0,0
BBM3,103.75991777084,1.34450628322565,11,0,2,0
BBM5,103.757933611524,1.34324288507703,16,0,2,0
U33,103.751306964305,1.35497823925369,16,2,2,1
U34,103.753703227508,1.35173368582319,17,2,2,0
J84M,103.696478557493,1.34772468307253,16,1,2,0
J85M,103.696234875051,1.34997718954676,10,0,1,0
Q84,103.796673185293,1.30678098777834,9,0,0,0
Q87,103.796238409487,1.30887893710383,12,0,0,1
Q89,103.795049795309,1.3062461348732,12,1,0,0
BM5,103.807619501422,1.28843155606342,15,0,0,1
TB1,103.818525004381,1.27838063594341,12,1,0,0
TB3,103.819467668237,1.27683918285987,13,0,0,0
TB9,103.822233439256,1.27328899776074,16,0,0,0
TBC3,103.817600775984,1.27897302470543,12,2,0,0
C26,103.769929065203,1.32258776108661,8,0,0,0
C25,103.769055517241,1.32239272321646,8,0,0,0
C22M,103.77021551085,1.32174637069336,11,1,0,0
JM7,103.703006456786,1.34248592800673,17,2,1,0
JM30,103.703884813889,1.35049912635745,15,2,2,0
J72,103.697733794226,1.34726728496265,18,2,2,0
J69,103.693640656696,1.33968739721516,24,2,0,0
JM23,103.703787405644,1.35356268843366,11,0,2,0
JM19,103.702821143712,1.35197369206251,11,0,1,0
U43,103.745936918798,1.36508311373815,13,1,1,0
W21,103.77709593565,1.43380410682215,13,1,4,1
W24,103.779404607402,1.43063065929603,11,1,2,0
M25,103.888177711009,1.32422544431015,10,1,0,0
M3,103.885707421104,1.33068085622753,13,0,0,0
M4,103.887659701755,1.3290227940584,14,1,0,0
MM1,103.887063625057,1.33045510029061,15,0,0,0
MM2,103.886094249665,1.32433968750611,11,0,2,0
MM4,103.885486552032,1.32932965670418,14,0,0,0
UA2,103.879228838414,1.33369095999958,11,1,1,1
UA3,103.88062786479,1.33465443487361,7,0,1,1
UA5,103.881182053495,1.33651336284135,4,0,1,0
UAM1,103.879213581489,1.33449780875893,8,0,1,1
JM31,103.697559329234,1.34202665158484,23,2,3,0
BBM9,103.751771828672,1.36583063528229,9,0,1,0
C21M,103.766526732001,1.31166119443481,16,1,2,0
U13,103.753222296157,1.34780344700207,19,0,3,0
C13M,103.766179840158,1.32056337141105,13,0,0,0
C12,103.766106072935,1.32178984437935,11,0,0,0
C14M,103.765185460601,1.31739237532048,16,0,3,1
C10,103.768962945216,1.31846320732282,13,0,1,0
BL10,103.711425137944,1.34376184065735,18,2,1,0
BL19,103.713345663581,1.34877728099847,18,0,1,0
BL3,103.709234555228,1.34687470761309,18,0,0,0
J50,103.722520940491,1.35370720919841,11,1,1,0
J60L,103.717872279532,1.34975461447697,15,0,3,0
J62,103.685407639614,1.34088978226791,8,0,3,0
J62M,103.686555370924,1.33987302748123,9,2,3,0
J63,103.686442787698,1.34177926283375,10,0,3,0
J65,103.689295832723,1.34277048726823,15,1,1,0
J71,103.69417441758,1.34622764756059,18,0,1,0
J76M,103.694529175815,1.34430441230655,25,0,2,0
J77M,103.698560619131,1.34744542350681,19,1,2,0
J78M,103.695123281173,1.34156585497183,28,0,0,0
J79M,103.694938806298,1.34650108353181,20,0,2,0
J80M,103.700969493023,1.34554734300345,16,2,2,0
J81M,103.700177324868,1.34959145906928,21,0,1,0
J82M,103.692450100139,1.34585000765068,14,2,1,0
J83M,103.695064442331,1.35022065301556,10,0,1,0
J86M,103.699090105732,1.34996227233592,14,0,1,0
J88M,103.707206189343,1.34167926764919,17,0,0,0
J89M,103.705900791485,1.34237534507963,17,2,1,0
J98M,103.696856975802,1.3397788016971,29,0,1,0
J99M,103.696042975809,1.33973330270424,28,0,1,0
JM10,103.697287459009,1.33894867849231,28,1,1,0
JM13,103.699744926115,1.33947094700527,19,1,2,0
JM22,103.702591748158,1.34474854196757,17,2,2,0
JM25,103.700628182367,1.34430368003993,19,1,2,0
JM28,103.695687816079,1.33532722240945,14,1,0,0
JM29,103.694504539652,1.3370050641486,22,2,0,0
TBM3,103.808972846138,1.27337433591129,14,0,1,1
TBM4,103.807811670278,1.27730553818201,7,1,1,0
BJ49,103.761486753403,1.38489746000688,22,0,2,1
Y11,103.829954511095,1.42577546121802,15,0,3,0
Y8,103.831278070403,1.42944491906926,17,0,3,1
Y13,103.837864919105,1.43121489565978,21,1,2,1
Y3,103.828886521341,1.43471142219389,15,0,2,0
Y3M,103.827469816348,1.43354468208133,12,0,1,0
